"","temp","dewp","slp","wdsp","max","min","sndp","NUM_CRIMES"
"325",31.9,29.5,1018.6,8.6,39.9,27,9.1,528
"326",19.1,13.2,1021.8,7.9,33.1,7,5.9,520
"327",28.4,22,1017.2,9.1,37,7,5.1,650
"328",31.6,26.8,1024.6,4.8,41,21,3.9,607
"329",38.3,30.9,1023.7,10.8,48.9,21,3.1,620
"330",52,46.4,1022.5,14.1,60.1,48,3.9,589
"331",45.5,42.5,1025.2,14.4,60.1,34,0,613
"332",34.7,28.5,1029.4,10.7,37.9,32,0,658
"333",32.7,25.7,1028.3,6.5,41,25,0,612
"334",40.1,31.7,1022.6,8.4,44.1,25,0,668
"335",41.6,36,1010.6,9.4,44.1,37.9,0,797
"336",34.8,31,1010,6.7,39.9,30.2,0,716
"337",33,28.4,1021.5,9.3,37.9,30,0,710
"338",36.6,32.2,1032.2,8.4,46.9,30,0,700
"339",35.8,32.1,1035.6,7.1,46.9,28.9,0,707
"340",35.8,31.6,1028,5.6,46.9,27,0,687
"341",33.7,32,1023.2,4.2,46.9,27,0,689
"342",40,36.6,1014.5,9.8,46,27,0,733
"343",46,40.7,1006.4,8.3,52,37.9,0,685
"344",48.3,38.4,1003.5,12.8,57,39.9,0,690
"345",45.9,35.1,1005.9,8.6,57,41,0,742
"346",49.7,45.2,1011.8,3.4,57,41,0,752
"347",55,52.9,1010.1,8.2,61,46.4,0,652
"348",54.7,51.1,993.8,15,61,46,0,739
"349",41.3,35.8,1008.9,8.3,61,39,0,793
"350",43.3,38.4,1007.9,12.9,53.1,39,0,722
"351",33.4,24,1009.5,15,53.1,28.9,0,728
"352",27.7,17.1,1014.7,11,32,24.8,0,653
"353",23.3,12.8,1024.2,11.2,32,15.1,0,666
"354",34.2,23,1022.2,10.6,50,15.1,0,693
"355",46.3,40.1,1009.2,13.3,52,42.1,0,650
"356",39.3,37.3,1009.9,6.9,52,35.1,0,694
"357",47.1,45.5,999.8,11.3,59,35.1,0,754
"358",42.1,34.5,1005.3,15.9,59,34,0,675
"360",39.1,34.8,1024.1,8.9,44.1,32,0,640
"361",38.4,36,1021.6,12.9,42.8,35.1,0,627
"362",33.5,27.4,1023.7,17.9,36,30.2,2,516
"363",33.5,31.1,1008.3,10.6,39,30,1.2,624
"364",28.8,23.6,1021.9,7.2,39,27,2,603
"365",27,21.3,1023.9,8,0,0,2,611
"367",27,19.4,1019,9.6,32,19,1.2,576
"368",26.8,19.3,1018.4,11.4,32,21.9,1.2,618
"369",26.9,18.5,1028.9,9.5,30.9,21.9,1.2,626
"370",25.5,17,1033.7,8.2,33.1,17.1,1.2,627
"371",28.3,20.9,1026.8,7.5,36,17.1,1.2,628
"372",36,26.4,1020.3,6.7,41,21.2,1.2,707
"373",38.5,34.2,1012.3,6.6,42.1,34,1.2,743
"374",37.1,36.6,1008.3,5.2,42.1,32,1.2,650
"375",19,14.2,1012.3,15.8,39.9,6.1,1.2,597
"376",5.1,-1.6,1019,8.7,23,-0.9,1.2,513
"377",14,7.1,1014.3,14.6,24.1,-0.9,3.1,548
"378",6.7,-0.8,1020.3,8.6,21,-2,2,654
"379",30.6,23.7,1006.9,7.7,42.1,21,1.2,734
"380",39.9,35.4,997.9,11.4,44.1,24.3,2,734
"381",28.4,21.3,1008.5,11.9,43,24.1,0,652
"382",7.5,-3,1017.6,14.2,30,1,0,537
"383",0.6,-9.9,1025.7,12.9,9,-4,0,515
"384",5.8,-4.7,1031.4,6.7,17.1,-4,0,610
"385",16.7,9.2,1027.1,3.5,23,0,1.2,619
"386",19,12.8,1027.3,2.9,28.9,9,1.2,634
"387",23.7,18.3,1025.9,7.5,30.2,18,0,701
"388",27.8,21,1023.6,6.4,33.1,19,0,722
"389",27.1,19,1016.7,7.6,34,24.1,0,675
"390",30.6,25.2,1011.5,6.8,39.9,24.1,0,744
"391",32.7,28.5,1011.5,14.4,41,24.3,0,640
"392",27.6,17.5,1022.4,10,37,23,0,669
"393",34.1,26.7,1006.8,13.8,39,23,0,751
"394",28.3,14.4,1012.9,9.5,39,19.9,0,746
"395",37.5,29.1,1005.3,9.7,46,21.9,0,743
"396",42.2,38.5,1002.4,6.5,48,35.1,0,665
"397",36,31.1,1014.1,5.5,48,30.9,0,853
"398",34.5,31.6,1016.9,9.8,45,30,0,614
"399",35.6,33.4,1002,9.9,37.4,30.9,0,682
"400",26.7,18,1020.9,9.9,37,19,0,670
"401",28.9,20.8,1026.5,6.2,34,21,0,660
"402",30.5,23.1,1025.4,6.9,41,24.1,0,695
"403",37.6,29.1,1013.2,10.5,43,25,0,617
"404",30.9,24.9,1005.9,9.1,43,27,0,570
"405",19.3,12.6,1010.4,12.2,32,15.1,1.2,545
"406",13.6,3.4,1016.9,11.2,21,9,1.2,565
"407",13,0.2,1024.8,7.2,21,7,1.2,582
"408",19.1,6.3,1023.6,10.8,23,7,0,647
"409",9.4,-7.7,1034.1,11.7,23,1.9,0,597
"410",13.9,2.2,1029.3,8.3,18,3,2,514
"411",20.7,17.9,1014.3,7.3,27,9,2,553
"412",27.5,21.9,1010.5,3.8,33.1,18,1.2,625
"413",28.4,20.3,1021,6.3,34,23,1.2,641
"414",29.6,21.5,1027.3,9.5,42.1,21,1.2,681
"415",47.5,35.3,1006.7,22.5,62.1,39,0,775
"416",49.1,32,1009.9,14.1,62.1,41,0,702
"417",39.6,31.6,1018.1,8.2,57,35.1,0,707
"418",35.1,27.1,1022.1,3.4,44.1,26.1,0,639
"419",35.6,26.1,1019.9,4.5,45,26.1,0,630
"420",34.8,27.3,1010.9,16.6,45,26.2,2,578
"421",33.4,23.9,1010.9,16.4,37,30.2,1.2,699
"422",31.1,16.4,1023,9.4,37,24.1,0,740
"423",36.7,24.3,1016.4,10.7,54,26.1,0,692
"424",51.7,36,1002.8,16.9,61,46,0,624
"425",40.8,30.6,1009.8,14.1,62.1,32,0,646
"426",28.3,23.2,1013.2,15.1,33.1,21,1.2,817
"427",20.6,6.8,1020.3,7.6,32,10.9,1.2,608
"428",30.1,24.1,1019,6.7,33.8,27,1.2,617
"429",30.1,19.1,1021.7,6,39,19.9,1.2,704
"430",33.5,28.4,1019.3,8.2,39,19.9,1.2,700
"431",38.8,29.1,1022.2,9.2,52,29.1,1.2,714
"432",51.3,39.9,1012.2,13,63,34,0,795
"433",61.8,49.6,1011.3,13.3,70,46,0,723
"434",61.1,55.1,1010.8,10.6,70,57,0,679
"435",49,40.9,1017.3,6.7,63,45,0,716
"436",42.7,34.4,1026.1,4.8,55,34,0,733
"437",43.3,36.6,1022.3,3.7,59,33.1,0,746
"438",46.8,42.8,1012.3,8,59,33.1,0,628
"439",46.9,44.1,1005.3,4.4,54,42.8,0,684
"440",49.5,45.2,1006.4,7.6,57.9,43,0,713
"441",52.6,42.1,999.8,19.9,57.9,46,0,745
"442",47.4,29.3,1009.4,15,55.9,39.9,0,738
"443",41.3,27.6,1016.2,8.3,55.9,32,0,791
"444",38.5,30.4,1021.1,7.3,48.9,33.1,0,699
"445",36.8,25.7,1022.3,8.4,46,30,0,685
"446",38.4,23.6,1020.9,5.7,48.9,28,0,699
"447",47.8,31.3,1010,10.2,63,37,0,722
"448",41.6,35.3,1009.4,11.5,57.9,37.4,0,686
"449",37.1,35.9,1003.2,11.7,42.1,33.1,0,677
"450",34.5,26.5,1015.5,8.2,48,28,0,717
"451",40.1,31.9,1020.6,6.7,54,29.1,0,735
"452",46.9,37.8,1015.2,6.8,63,31.1,0,631
"453",45.1,36.9,1015.7,10.8,63,36,0,741
"454",43.7,31.2,1024.7,5.1,57.9,30.9,0,739
"455",48.9,35,1014.3,11.3,62.1,31.1,0,716
"456",59.8,54.5,996.4,16.3,66.9,42.1,0,754
"457",44.9,37,1005.1,8.3,66.9,39.9,0,826
"458",35.2,25.1,1007.7,15.8,42.1,30.2,0,651
"459",40.1,21.6,1012.5,13.4,0,27,0,706
"460",40.6,28.5,1013.4,14.1,0,30.2,0,660
"461",33.5,18.2,1029.5,7.5,45,24.1,0,677
"462",44.5,37.6,1008.9,10.2,48.9,41,0,660
"463",40,33.8,1004.4,12.5,50,33.1,0,742
"464",36.9,27.7,1010.2,11,41,32,0,626
"465",30,15.1,1021.1,11.8,41,21.9,1.2,689
"466",37.1,27.1,1016.4,14.3,46.9,21.9,0,704
"467",47.7,38.8,1011,10.3,51.1,33.1,0,676
"468",39.7,21.5,1024.7,8,51.1,30,0,701
"469",42.7,26.8,1027,6.9,55.9,30.2,0,715
"470",47.7,29,1024.7,6.7,61,34,0,691
"471",53.5,31.7,1023,6.7,68,37,0,811
"472",57.6,38.4,1024.7,6,75.9,41,0,734
"473",62.5,39.5,1027.5,5,79,41,0,708
"474",65.7,39.7,1025.6,3.3,82.9,45,0,738
"475",54,40.6,1023.1,9.2,82.9,46,0,703
"476",58.1,41.6,1019.1,9,71.1,46,0,690
"477",61.6,52.8,1010.3,6.7,71.1,55.9,0,714
