"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"257",0,0,0,0,0,0,0,0,0,0,0,1,2015,67,58.5,75,60.1,0,792
"258",0,0,0,0,0,0,0,0,0,0,0,1,2015,67.4,59.5,75,60.1,0,802
"259",0,0,0,0,0,0,0,0,0,0,0,1,2015,69.6,63.6,77,61,0,753
"260",0,0,0,0,0,0,0,0,0,0,0,1,2015,64.4,59.6,77,57,0,670
"261",0,0,0,0,0,0,0,0,0,0,0,1,2015,56.7,44.1,68,53.1,0,678
"262",0,0,0,0,0,0,0,0,0,0,1,0,2015,55.2,42.4,61,52,0,889
"263",0,0,0,0,0,0,0,0,0,0,1,0,2015,55,41.7,60.1,51.1,0,799
"264",0,0,0,0,0,0,0,0,0,0,1,0,2015,52.1,39.6,60.1,48,0,709
"265",0,0,0,0,0,0,0,0,0,0,1,0,2015,51.9,47.4,57,48,0,654
"266",0,0,0,0,0,0,0,0,0,0,1,0,2015,57,53.8,60.1,50,0,755
"267",0,0,0,0,0,0,0,0,0,0,1,0,2015,60.2,53.8,71.1,55,0,752
"268",0,0,0,0,0,0,0,0,0,0,1,0,2015,62,54.9,71.1,55,0,718
"269",0,0,0,0,0,0,0,0,0,0,1,0,2015,61.7,52.4,77,50,0,701
"270",0,0,0,0,0,0,0,0,0,0,1,0,2015,60.4,52.1,77,50,0,795
"271",0,0,0,0,0,0,0,0,0,0,1,0,2015,53.2,43.7,64.9,42.1,0,729
"272",0,0,0,0,0,0,0,0,0,0,1,0,2015,61.5,46.7,79,42.1,0,735
"273",0,0,0,0,0,0,0,0,0,0,1,0,2015,67.1,48.6,79,51.1,0,732
"274",0,0,0,0,0,0,0,0,0,0,1,0,2015,55.7,41.3,75,48.9,0,741
"275",0,0,0,0,0,0,0,0,0,0,1,0,2015,52.3,39.3,63,42.1,0,764
"276",0,0,0,0,0,0,0,0,0,0,1,0,2015,54.8,36.3,69.1,42.1,0,816
"277",0,0,0,0,0,0,0,0,0,0,1,0,2015,48.9,30,69.1,42.1,0,734
"278",0,0,0,0,0,0,0,0,0,0,1,0,2015,42.5,23.1,55,33.1,0,706
"279",0,0,0,0,0,0,0,0,0,0,1,0,2015,44.6,26.8,60.1,33.1,0,675
"280",0,0,0,0,0,0,0,0,0,0,1,0,2015,54.9,30.7,73,33.1,0,788
"281",0,0,0,0,0,0,0,0,0,0,1,0,2015,63.7,37.7,73.9,45,0,785
"282",0,0,0,0,0,0,0,0,0,0,1,0,2015,62.7,51.9,75,52,0,794
"283",0,0,0,0,0,0,0,0,0,0,1,0,2015,59.8,48.8,75,52,0,774
"284",0,0,0,0,0,0,0,0,0,0,1,0,2015,55,44.5,62.1,51.1,0,777
