"","month","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"432","Mar",2016,47.8,31.3,63,37,0,722
"433","Mar",2016,41.6,35.3,57.9,37.4,0,686
"434","Mar",2016,37.1,35.9,42.1,33.1,0,677
"435","Mar",2016,34.5,26.5,48,28,0,717
"436","Mar",2016,40.1,31.9,54,29.1,0,735
"437","Mar",2016,46.9,37.8,63,31.1,0,631
"438","Mar",2016,45.1,36.9,63,36,0,741
"439","Mar",2016,43.7,31.2,57.9,30.9,0,739
"440","Mar",2016,48.9,35,62.1,31.1,0,716
"441","Mar",2016,59.8,54.5,66.9,42.1,0,754
"442","Apr",2016,44.9,37,66.9,39.9,0,826
"443","Apr",2016,35.2,25.1,42.1,30.2,0,651
"444","Apr",2016,40.1,21.6,0,27,0,706
"445","Apr",2016,40.6,28.5,0,30.2,0,660
"446","Apr",2016,33.5,18.2,45,24.1,0,677
"447","Apr",2016,44.5,37.6,48.9,41,0,660
"448","Apr",2016,40,33.8,50,33.1,0,742
"449","Apr",2016,36.9,27.7,41,32,0,626
"450","Apr",2016,30,15.1,41,21.9,1.2,689
"451","Apr",2016,37.1,27.1,46.9,21.9,0,704
"452","Apr",2016,47.7,38.8,51.1,33.1,0,676
"453","Apr",2016,39.7,21.5,51.1,30,0,701
"454","Apr",2016,42.7,26.8,55.9,30.2,0,715
"455","Apr",2016,47.7,29,61,34,0,691
"456","Apr",2016,53.5,31.7,68,37,0,811
"457","Apr",2016,57.6,38.4,75.9,41,0,734
"458","Apr",2016,62.5,39.5,79,41,0,708
"459","Apr",2016,65.7,39.7,82.9,45,0,738
"460","Apr",2016,54,40.6,82.9,46,0,703
"461","Apr",2016,58.1,41.6,71.1,46,0,690
"462","Apr",2016,61.6,52.8,71.1,55.9,0,714
"463","Apr",2016,51.2,44,70,44.1,0,731
"464","Apr",2016,47.6,37.8,60.1,37.9,0,694
"465","Apr",2016,56.2,42.6,78.1,37.9,0,756
"466","Apr",2016,69,52,81,57.9,0,758
"467","Apr",2016,53.4,46,82.9,42.1,0,693
"468","Apr",2016,44,38.4,46.9,41,0,661
"469","Apr",2016,44.9,40.7,50,41,0,731
"470","Apr",2016,44.3,39.9,51.1,41,0,719
"471","Apr",2016,44.8,39.9,51.1,42.1,0,605
"472","May",2016,45.2,43.6,48.9,42.1,0,820
"473","May",2016,49.3,38.7,59,42.1,0,757
"474","May",2016,52.8,36,66.9,39.9,0,735
"475","May",2016,52.3,40.3,66.9,39.9,0,682
"476","May",2016,48.8,36.7,61,41,0,701
"477","May",2016,59.2,41.2,82,41,0,794
"478","May",2016,64.6,42.6,82,42.1,0,742
"479","May",2016,55,31.3,71.1,41,0,729
"480","May",2016,55.9,43.4,71.1,41,0,732
"481","May",2016,54.2,52.9,63,50,0,713
"482","May",2016,58.2,55.3,69.1,51.1,0,758
"483","May",2016,61.2,56.3,70,51.1,0,690
"484","May",2016,57.6,44.5,70,48,0,808
"485","May",2016,46.3,37,66,41,0,723
"486","May",2016,45,28.4,55,35.1,0,739
"487","May",2016,55.7,34.6,70,35.1,0,782
"488","May",2016,54.3,41.7,70,46,0,692
"489","May",2016,52,36.4,64.9,41,0,801
"490","May",2016,55.2,35.1,69.1,39,0,764
"491","May",2016,58.5,37.3,69.1,39,0,805
"492","May",2016,62.5,35.9,75,44.1,0,792
"493","May",2016,66.2,41.2,77,53.1,0,750
"494","May",2016,66.1,43.9,81,48,0,782
"495","May",2016,71.9,46.9,86,48,0,803
"496","May",2016,75.9,59.7,86,60.1,0,721
"497","May",2016,71.1,64.1,86,62.1,0,767
"498","May",2016,74.2,64.9,82.9,62.1,0,800
"499","May",2016,73,64.9,81,66,0,791
"500","May",2016,71.8,61.1,81,63,0,798
"501","May",2016,74.5,57.5,87.1,63,0,820
"502","May",2016,72.6,56.4,87.1,63,0,756
"503","Jun",2016,68.1,62.4,82.9,63,0,937
"504","Jun",2016,70.1,54,79,57,0,800
