"","temp","dewp","slp","wdsp","NUM_CRIMES"
"433",61.8,49.6,1011.3,13.3,723
"434",61.1,55.1,1010.8,10.6,679
"435",49,40.9,1017.3,6.7,716
"436",42.7,34.4,1026.1,4.8,733
"437",43.3,36.6,1022.3,3.7,746
"438",46.8,42.8,1012.3,8,628
"439",46.9,44.1,1005.3,4.4,684
"440",49.5,45.2,1006.4,7.6,713
"441",52.6,42.1,999.8,19.9,745
"442",47.4,29.3,1009.4,15,738
"443",41.3,27.6,1016.2,8.3,791
"444",38.5,30.4,1021.1,7.3,699
"445",36.8,25.7,1022.3,8.4,685
"446",38.4,23.6,1020.9,5.7,699
"447",47.8,31.3,1010,10.2,722
"448",41.6,35.3,1009.4,11.5,686
"449",37.1,35.9,1003.2,11.7,677
"450",34.5,26.5,1015.5,8.2,717
"451",40.1,31.9,1020.6,6.7,735
"452",46.9,37.8,1015.2,6.8,631
"453",45.1,36.9,1015.7,10.8,741
"454",43.7,31.2,1024.7,5.1,739
"455",48.9,35,1014.3,11.3,716
"456",59.8,54.5,996.4,16.3,754
"457",44.9,37,1005.1,8.3,826
"458",35.2,25.1,1007.7,15.8,651
"459",40.1,21.6,1012.5,13.4,706
"460",40.6,28.5,1013.4,14.1,660
"461",33.5,18.2,1029.5,7.5,677
"462",44.5,37.6,1008.9,10.2,660
"463",40,33.8,1004.4,12.5,742
"464",36.9,27.7,1010.2,11,626
"465",30,15.1,1021.1,11.8,689
"466",37.1,27.1,1016.4,14.3,704
"467",47.7,38.8,1011,10.3,676
"468",39.7,21.5,1024.7,8,701
"469",42.7,26.8,1027,6.9,715
"470",47.7,29,1024.7,6.7,691
"471",53.5,31.7,1023,6.7,811
"472",57.6,38.4,1024.7,6,734
"473",62.5,39.5,1027.5,5,708
"474",65.7,39.7,1025.6,3.3,738
"475",54,40.6,1023.1,9.2,703
"476",58.1,41.6,1019.1,9,690
"477",61.6,52.8,1010.3,6.7,714
"478",51.2,44,1013.8,9.5,731
"479",47.6,37.8,1021.4,7.2,694
"480",56.2,42.6,1015.5,6.9,756
"481",69,52,1006.7,10.7,758
"482",53.4,46,1008.1,11.1,693
"483",44,38.4,1013.2,12.6,661
"484",44.9,40.7,1011.8,10.1,731
"485",44.3,39.9,1018.1,7.6,719
"486",44.8,39.9,1017.8,10.3,605
"487",45.2,43.6,1015,11.8,820
"488",49.3,38.7,1017,10.7,757
"489",52.8,36,1014,6.1,735
"490",52.3,40.3,1007.4,11.1,682
"491",48.8,36.7,1014,11.4,701
"492",59.2,41.2,1013.8,5.2,794
"493",64.6,42.6,1007.9,12.3,742
"494",55,31.3,1012.7,4.1,729
"495",55.9,43.4,1014.2,10.1,732
"496",54.2,52.9,1011.9,9.5,713
"497",58.2,55.3,1015.2,5.7,758
"498",61.2,56.3,1013.3,7.7,690
"499",57.6,44.5,1014.6,10.1,808
"500",46.3,37,1014.4,12,723
"501",45,28.4,1019,8.5,739
"502",55.7,34.6,1019.3,10.7,782
"503",54.3,41.7,1021.8,9.4,692
