"","month","year","temp","dewp","NUM_CRIMES"
"331","Dec",2015,48.3,38.4,690
"332","Dec",2015,45.9,35.1,742
"333","Dec",2015,49.7,45.2,752
"334","Dec",2015,55,52.9,652
"335","Dec",2015,54.7,51.1,739
"336","Dec",2015,41.3,35.8,793
"337","Dec",2015,43.3,38.4,722
"338","Dec",2015,33.4,24,728
"339","Dec",2015,27.7,17.1,653
"340","Dec",2015,23.3,12.8,666
"341","Dec",2015,34.2,23,693
"342","Dec",2015,46.3,40.1,650
"343","Dec",2015,39.3,37.3,694
"344","Dec",2015,47.1,45.5,754
"345","Dec",2015,42.1,34.5,675
"346","Dec",2015,39.1,34.8,640
"347","Dec",2015,38.4,36,627
"348","Dec",2015,33.5,27.4,516
"349","Dec",2015,33.5,31.1,624
"350","Dec",2015,28.8,23.6,603
"351","Dec",2015,27,21.3,611
"352","Jan",2016,27,19.4,576
"353","Jan",2016,26.8,19.3,618
"354","Jan",2016,26.9,18.5,626
"355","Jan",2016,25.5,17,627
"356","Jan",2016,28.3,20.9,628
"357","Jan",2016,36,26.4,707
"358","Jan",2016,38.5,34.2,743
"359","Jan",2016,37.1,36.6,650
"360","Jan",2016,19,14.2,597
"361","Jan",2016,5.1,-1.6,513
"362","Jan",2016,14,7.1,548
"363","Jan",2016,6.7,-0.8,654
"364","Jan",2016,30.6,23.7,734
"365","Jan",2016,39.9,35.4,734
"366","Jan",2016,28.4,21.3,652
"367","Jan",2016,7.5,-3,537
"368","Jan",2016,0.6,-9.9,515
"369","Jan",2016,5.8,-4.7,610
"370","Jan",2016,16.7,9.2,619
"371","Jan",2016,19,12.8,634
"372","Jan",2016,23.7,18.3,701
"373","Jan",2016,27.8,21,722
"374","Jan",2016,27.1,19,675
"375","Jan",2016,30.6,25.2,744
"376","Jan",2016,32.7,28.5,640
"377","Jan",2016,27.6,17.5,669
"378","Jan",2016,34.1,26.7,751
"379","Jan",2016,28.3,14.4,746
"380","Jan",2016,37.5,29.1,743
"381","Jan",2016,42.2,38.5,665
"382","Feb",2016,36,31.1,853
"383","Feb",2016,34.5,31.6,614
"384","Feb",2016,35.6,33.4,682
"385","Feb",2016,26.7,18,670
"386","Feb",2016,28.9,20.8,660
"387","Feb",2016,30.5,23.1,695
"388","Feb",2016,37.6,29.1,617
"389","Feb",2016,30.9,24.9,570
"390","Feb",2016,19.3,12.6,545
"391","Feb",2016,13.6,3.4,565
"392","Feb",2016,13,0.2,582
"393","Feb",2016,19.1,6.3,647
"394","Feb",2016,9.4,-7.7,597
"395","Feb",2016,13.9,2.2,514
"396","Feb",2016,20.7,17.9,553
"397","Feb",2016,27.5,21.9,625
"398","Feb",2016,28.4,20.3,641
"399","Feb",2016,29.6,21.5,681
"400","Feb",2016,47.5,35.3,775
"401","Feb",2016,49.1,32,702
"402","Feb",2016,39.6,31.6,707
"403","Feb",2016,35.1,27.1,639
"404","Feb",2016,35.6,26.1,630
"405","Feb",2016,34.8,27.3,578
"406","Feb",2016,33.4,23.9,699
"407","Feb",2016,31.1,16.4,740
"408","Feb",2016,36.7,24.3,692
"409","Feb",2016,51.7,36,624
"410","Feb",2016,40.8,30.6,646
"411","Mar",2016,28.3,23.2,817
"412","Mar",2016,20.6,6.8,608
"413","Mar",2016,30.1,24.1,617
"414","Mar",2016,30.1,19.1,704
"415","Mar",2016,33.5,28.4,700
"416","Mar",2016,38.8,29.1,714
"417","Mar",2016,51.3,39.9,795
"418","Mar",2016,61.8,49.6,723
