"","temp","dewp","max","min","NUM_CRIMES"
"324",35.9,17.5,48,30.9,714
"325",31.9,29.5,39.9,27,528
"326",19.1,13.2,33.1,7,520
"327",28.4,22,37,7,650
"328",31.6,26.8,41,21,607
"329",38.3,30.9,48.9,21,620
"330",52,46.4,60.1,48,589
"331",45.5,42.5,60.1,34,613
"332",34.7,28.5,37.9,32,658
"333",32.7,25.7,41,25,612
"334",40.1,31.7,44.1,25,668
"335",41.6,36,44.1,37.9,797
"336",34.8,31,39.9,30.2,716
"337",33,28.4,37.9,30,710
"338",36.6,32.2,46.9,30,700
"339",35.8,32.1,46.9,28.9,707
"340",35.8,31.6,46.9,27,687
"341",33.7,32,46.9,27,689
"342",40,36.6,46,27,733
"343",46,40.7,52,37.9,685
"344",48.3,38.4,57,39.9,690
"345",45.9,35.1,57,41,742
"346",49.7,45.2,57,41,752
"347",55,52.9,61,46.4,652
"348",54.7,51.1,61,46,739
"349",41.3,35.8,61,39,793
"350",43.3,38.4,53.1,39,722
"351",33.4,24,53.1,28.9,728
"352",27.7,17.1,32,24.8,653
"353",23.3,12.8,32,15.1,666
"354",34.2,23,50,15.1,693
"355",46.3,40.1,52,42.1,650
"356",39.3,37.3,52,35.1,694
"357",47.1,45.5,59,35.1,754
"358",42.1,34.5,59,34,675
"359",38.5,32.6,44.1,32,498
"360",39.1,34.8,44.1,32,640
"361",38.4,36,42.8,35.1,627
"362",33.5,27.4,36,30.2,516
"363",33.5,31.1,39,30,624
"364",28.8,23.6,39,27,603
"365",27,21.3,0,0,611
"367",27,19.4,32,19,576
"368",26.8,19.3,32,21.9,618
"369",26.9,18.5,30.9,21.9,626
"370",25.5,17,33.1,17.1,627
"371",28.3,20.9,36,17.1,628
"372",36,26.4,41,21.2,707
"373",38.5,34.2,42.1,34,743
"374",37.1,36.6,42.1,32,650
"375",19,14.2,39.9,6.1,597
"376",5.1,-1.6,23,-0.9,513
"377",14,7.1,24.1,-0.9,548
"378",6.7,-0.8,21,-2,654
"379",30.6,23.7,42.1,21,734
"380",39.9,35.4,44.1,24.3,734
"381",28.4,21.3,43,24.1,652
"382",7.5,-3,30,1,537
"383",0.6,-9.9,9,-4,515
"384",5.8,-4.7,17.1,-4,610
"385",16.7,9.2,23,0,619
"386",19,12.8,28.9,9,634
"387",23.7,18.3,30.2,18,701
"388",27.8,21,33.1,19,722
"389",27.1,19,34,24.1,675
"390",30.6,25.2,39.9,24.1,744
"391",32.7,28.5,41,24.3,640
"392",27.6,17.5,37,23,669
"393",34.1,26.7,39,23,751
"394",28.3,14.4,39,19.9,746
"395",37.5,29.1,46,21.9,743
"396",42.2,38.5,48,35.1,665
"397",36,31.1,48,30.9,853
"398",34.5,31.6,45,30,614
"399",35.6,33.4,37.4,30.9,682
"400",26.7,18,37,19,670
"401",28.9,20.8,34,21,660
"402",30.5,23.1,41,24.1,695
"403",37.6,29.1,43,25,617
"404",30.9,24.9,43,27,570
"405",19.3,12.6,32,15.1,545
"406",13.6,3.4,21,9,565
"407",13,0.2,21,7,582
"408",19.1,6.3,23,7,647
"409",9.4,-7.7,23,1.9,597
"410",13.9,2.2,18,3,514
"411",20.7,17.9,27,9,553
"412",27.5,21.9,33.1,18,625
"413",28.4,20.3,34,23,641
"414",29.6,21.5,42.1,21,681
"415",47.5,35.3,62.1,39,775
"416",49.1,32,62.1,41,702
"417",39.6,31.6,57,35.1,707
"418",35.1,27.1,44.1,26.1,639
"419",35.6,26.1,45,26.1,630
"420",34.8,27.3,45,26.2,578
"421",33.4,23.9,37,30.2,699
"422",31.1,16.4,37,24.1,740
"423",36.7,24.3,54,26.1,692
"424",51.7,36,61,46,624
"425",40.8,30.6,62.1,32,646
"426",28.3,23.2,33.1,21,817
"427",20.6,6.8,32,10.9,608
"428",30.1,24.1,33.8,27,617
"429",30.1,19.1,39,19.9,704
"430",33.5,28.4,39,19.9,700
"431",38.8,29.1,52,29.1,714
"432",51.3,39.9,63,34,795
"433",61.8,49.6,70,46,723
"434",61.1,55.1,70,57,679
"435",49,40.9,63,45,716
"436",42.7,34.4,55,34,733
"437",43.3,36.6,59,33.1,746
"438",46.8,42.8,59,33.1,628
"439",46.9,44.1,54,42.8,684
"440",49.5,45.2,57.9,43,713
"441",52.6,42.1,57.9,46,745
"442",47.4,29.3,55.9,39.9,738
"443",41.3,27.6,55.9,32,791
"444",38.5,30.4,48.9,33.1,699
"445",36.8,25.7,46,30,685
"446",38.4,23.6,48.9,28,699
"447",47.8,31.3,63,37,722
"448",41.6,35.3,57.9,37.4,686
"449",37.1,35.9,42.1,33.1,677
"450",34.5,26.5,48,28,717
"451",40.1,31.9,54,29.1,735
"452",46.9,37.8,63,31.1,631
"453",45.1,36.9,63,36,741
"454",43.7,31.2,57.9,30.9,739
"455",48.9,35,62.1,31.1,716
"456",59.8,54.5,66.9,42.1,754
"457",44.9,37,66.9,39.9,826
"458",35.2,25.1,42.1,30.2,651
"459",40.1,21.6,0,27,706
"460",40.6,28.5,0,30.2,660
"461",33.5,18.2,45,24.1,677
"462",44.5,37.6,48.9,41,660
"463",40,33.8,50,33.1,742
"464",36.9,27.7,41,32,626
"465",30,15.1,41,21.9,689
"466",37.1,27.1,46.9,21.9,704
"467",47.7,38.8,51.1,33.1,676
"468",39.7,21.5,51.1,30,701
"469",42.7,26.8,55.9,30.2,715
"470",47.7,29,61,34,691
"471",53.5,31.7,68,37,811
"472",57.6,38.4,75.9,41,734
"473",62.5,39.5,79,41,708
"474",65.7,39.7,82.9,45,738
"475",54,40.6,82.9,46,703
"476",58.1,41.6,71.1,46,690
"477",61.6,52.8,71.1,55.9,714
"478",51.2,44,70,44.1,731
"479",47.6,37.8,60.1,37.9,694
"480",56.2,42.6,78.1,37.9,756
"481",69,52,81,57.9,758
"482",53.4,46,82.9,42.1,693
"483",44,38.4,46.9,41,661
"484",44.9,40.7,50,41,731
"485",44.3,39.9,51.1,41,719
"486",44.8,39.9,51.1,42.1,605
"487",45.2,43.6,48.9,42.1,820
"488",49.3,38.7,59,42.1,757
"489",52.8,36,66.9,39.9,735
"490",52.3,40.3,66.9,39.9,682
"491",48.8,36.7,61,41,701
"492",59.2,41.2,82,41,794
"493",64.6,42.6,82,42.1,742
"494",55,31.3,71.1,41,729
"495",55.9,43.4,71.1,41,732
"496",54.2,52.9,63,50,713
"497",58.2,55.3,69.1,51.1,758
"498",61.2,56.3,70,51.1,690
"499",57.6,44.5,70,48,808
"500",46.3,37,66,41,723
