"","month","year","temp","dewp","sndp","NUM_CRIMES"
"437","Mar",2016,46.9,37.8,0,631
"438","Mar",2016,45.1,36.9,0,741
"439","Mar",2016,43.7,31.2,0,739
"440","Mar",2016,48.9,35,0,716
"441","Mar",2016,59.8,54.5,0,754
"442","Apr",2016,44.9,37,0,826
"443","Apr",2016,35.2,25.1,0,651
"444","Apr",2016,40.1,21.6,0,706
"445","Apr",2016,40.6,28.5,0,660
"446","Apr",2016,33.5,18.2,0,677
"447","Apr",2016,44.5,37.6,0,660
"448","Apr",2016,40,33.8,0,742
"449","Apr",2016,36.9,27.7,0,626
"450","Apr",2016,30,15.1,1.2,689
"451","Apr",2016,37.1,27.1,0,704
"452","Apr",2016,47.7,38.8,0,676
"453","Apr",2016,39.7,21.5,0,701
"454","Apr",2016,42.7,26.8,0,715
"455","Apr",2016,47.7,29,0,691
"456","Apr",2016,53.5,31.7,0,811
"457","Apr",2016,57.6,38.4,0,734
"458","Apr",2016,62.5,39.5,0,708
"459","Apr",2016,65.7,39.7,0,738
"460","Apr",2016,54,40.6,0,703
"461","Apr",2016,58.1,41.6,0,690
"462","Apr",2016,61.6,52.8,0,714
"463","Apr",2016,51.2,44,0,731
"464","Apr",2016,47.6,37.8,0,694
"465","Apr",2016,56.2,42.6,0,756
"466","Apr",2016,69,52,0,758
"467","Apr",2016,53.4,46,0,693
"468","Apr",2016,44,38.4,0,661
"469","Apr",2016,44.9,40.7,0,731
"470","Apr",2016,44.3,39.9,0,719
"471","Apr",2016,44.8,39.9,0,605
"472","May",2016,45.2,43.6,0,820
"473","May",2016,49.3,38.7,0,757
"474","May",2016,52.8,36,0,735
"475","May",2016,52.3,40.3,0,682
"476","May",2016,48.8,36.7,0,701
"477","May",2016,59.2,41.2,0,794
"478","May",2016,64.6,42.6,0,742
"479","May",2016,55,31.3,0,729
"480","May",2016,55.9,43.4,0,732
"481","May",2016,54.2,52.9,0,713
"482","May",2016,58.2,55.3,0,758
"483","May",2016,61.2,56.3,0,690
"484","May",2016,57.6,44.5,0,808
"485","May",2016,46.3,37,0,723
"486","May",2016,45,28.4,0,739
"487","May",2016,55.7,34.6,0,782
"488","May",2016,54.3,41.7,0,692
"489","May",2016,52,36.4,0,801
"490","May",2016,55.2,35.1,0,764
"491","May",2016,58.5,37.3,0,805
"492","May",2016,62.5,35.9,0,792
"493","May",2016,66.2,41.2,0,750
"494","May",2016,66.1,43.9,0,782
"495","May",2016,71.9,46.9,0,803
"496","May",2016,75.9,59.7,0,721
"497","May",2016,71.1,64.1,0,767
"498","May",2016,74.2,64.9,0,800
"499","May",2016,73,64.9,0,791
"500","May",2016,71.8,61.1,0,798
"501","May",2016,74.5,57.5,0,820
"502","May",2016,72.6,56.4,0,756
"503","Jun",2016,68.1,62.4,0,937
"504","Jun",2016,70.1,54,0,800
"505","Jun",2016,70.1,53.3,0,822
"506","Jun",2016,68.8,58.4,0,827
"507","Jun",2016,68.2,58.3,0,777
"508","Jun",2016,71.2,54.2,0,792
"509","Jun",2016,63.3,47.9,0,754
"510","Jun",2016,60.7,47.3,0,744
"511","Jun",2016,61,50.9,0,727
"512","Jun",2016,73.8,63.2,0,765
"513","Jun",2016,82.4,63.1,0,816
"514","Jun",2016,71.4,49.1,0,852
"515","Jun",2016,67.9,47.8,0,794
"516","Jun",2016,74.1,58.5,0,835
"517","Jun",2016,78.4,68.2,0,790
"518","Jun",2016,74.4,62.5,0,821
"519","Jun",2016,70.8,54.8,0,830
"520","Jun",2016,74.3,51.2,0,763
