"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","NUM_CRIMES"
"268",0,0,0,0,0,0,0,0,0,0,1,0,2015,62,54.9,718
"269",0,0,0,0,0,0,0,0,0,0,1,0,2015,61.7,52.4,701
"270",0,0,0,0,0,0,0,0,0,0,1,0,2015,60.4,52.1,795
"271",0,0,0,0,0,0,0,0,0,0,1,0,2015,53.2,43.7,729
"272",0,0,0,0,0,0,0,0,0,0,1,0,2015,61.5,46.7,735
"273",0,0,0,0,0,0,0,0,0,0,1,0,2015,67.1,48.6,732
"274",0,0,0,0,0,0,0,0,0,0,1,0,2015,55.7,41.3,741
"275",0,0,0,0,0,0,0,0,0,0,1,0,2015,52.3,39.3,764
"276",0,0,0,0,0,0,0,0,0,0,1,0,2015,54.8,36.3,816
"277",0,0,0,0,0,0,0,0,0,0,1,0,2015,48.9,30,734
"278",0,0,0,0,0,0,0,0,0,0,1,0,2015,42.5,23.1,706
"279",0,0,0,0,0,0,0,0,0,0,1,0,2015,44.6,26.8,675
"280",0,0,0,0,0,0,0,0,0,0,1,0,2015,54.9,30.7,788
"281",0,0,0,0,0,0,0,0,0,0,1,0,2015,63.7,37.7,785
"282",0,0,0,0,0,0,0,0,0,0,1,0,2015,62.7,51.9,794
"283",0,0,0,0,0,0,0,0,0,0,1,0,2015,59.8,48.8,774
"284",0,0,0,0,0,0,0,0,0,0,1,0,2015,55,44.5,777
"285",0,0,0,0,0,0,0,0,0,0,1,0,2015,61.8,57.9,765
"286",0,0,0,0,0,0,0,0,0,0,1,0,2015,51.3,39.1,728
"287",0,0,0,0,0,0,0,0,0,0,1,0,2015,49.2,38.7,781
"288",0,0,0,0,0,0,0,0,0,0,1,0,2015,53.2,42.9,651
"289",0,0,0,0,0,0,0,0,0,0,1,0,2015,52.7,50.5,682
"290",0,0,0,0,0,0,0,0,0,0,1,0,2015,40.6,32.8,669
"291",0,0,0,0,0,0,0,0,0,0,1,0,2015,45.5,37,776
"292",0,0,0,0,0,0,0,0,0,0,1,0,2015,46.8,42.1,721
"293",0,0,0,0,0,0,0,0,0,1,0,0,2015,57.9,43.4,785
"294",0,0,0,0,0,0,0,0,0,1,0,0,2015,58.4,47.9,749
"295",0,0,0,0,0,0,0,0,0,1,0,0,2015,57.5,54.5,791
"296",0,0,0,0,0,0,0,0,0,1,0,0,2015,63.8,56.8,755
"297",0,0,0,0,0,0,0,0,0,1,0,0,2015,55.5,48.3,747
"298",0,0,0,0,0,0,0,0,0,1,0,0,2015,44.3,34.5,691
"299",0,0,0,0,0,0,0,0,0,1,0,0,2015,40.8,28.1,705
